dt,LandAverageTemperature,LandAverageTemperatureUncertainty
1839-05,13.84,4.49
1839-06,17.37,7.15
1839-07,18.71,5.66
1839-08,18.78,7.16
1839-09,15.12,5.45
1839-10,10.25,4.37
1839-11,5.87,5.84
1839-12,3.8,6.81
1840-01,2.74,6.72
1840-02,3.81,5.32
1840-03,7.2,4.47
1840-04,10.75,5.24
1840-05,14.3,5.24
1840-06,17.85,5.94
1840-07,18.56,4.4
1840-08,18.43,7.17
1840-09,15.19,4.63
1840-10,10.04,7.26
1840-11,5.44,6.04
1840-12,3.38,4.74
1841-01,3.28,4.42
1841-02,3.88,6.51
1841-03,6.94,6.79
1841-04,10.5,6.29
1841-05,14.64,5.76
1841-06,17.13,4.69
1841-07,18.67,5.98
1841-08,18.02,6.3
1841-09,14.63,4.54
1841-10,10.65,6.8
1841-11,6.24,5.1
1841-12,2.99,6.55
1842-01,3.26,5.45
1842-02,3.85,5.66
1842-03,7.15,6.75
1842-04,10.16,5.15
1842-05,14.09,5.39
1842-06,17.45,6.03
1842-07,19.32,5.2
1842-08,18.27,5.79
1842-09,15.2,4.83
1842-10,9.73,7.12
1842-11,5.69,4.4
1842-12,3.64,5.67
1843-01,2.78,5.3
1843-02,4.07,5.78
1843-03,6.68,6.02
1843-04,10.98,6.47
1843-05,13.84,5.92
1843-06,17.63,6.77
1843-07,18.6,6.7
1843-08,18.18,5.41
1843-09,14.68,4.25
1843-10,9.91,6.66
1843-11,5.87,6.43
1843-12,3.32,6.59
1844-01,2.92,6.01
1844-02,4.6,4.99
1844-03,7.0,6.89
1844-04,10.12,6.06
1844-05,14.39,7.04
1844-06,17.12,6.24
1844-07,18.61,4.39
1844-08,18.02,6.97
1844-09,15.26,5.2
1844-10,9.8,5.52
1844-11,6.26,5.0
1844-12,3.31,5.09
1845-01,2.69,5.91
1845-02,3.75,4.16
1845-03,7.11,5.7
1845-04,10.77,6.15
1845-05,13.79,7.1
1845-06,17.3,4.41
1845-07,18.98,4.8
1845-08,18.28,4.5
1845-09,14.7,5.44
1845-10,9.88,6.08
1845-11,5.58,6.76
1845-12,3.04,5.97
1846-01,3.37,4.18
1846-02,4.59,6.21
1846-03,7.26,6.55
1846-04,10.16,6.27
1846-05,14.65,4.23
1846-06,17.21,6.74
1846-07,19.25,4.78
1846-08,18.79,5.75
1846-09,14.93,6.84
1846-10,9.98,6.11
1846-11,5.55,6.95
1846-12,3.44,5.21
1847-01,3.26,5.91
1847-02,3.97,4.2
1847-03,6.93,6.14
1847-04,10.15,6.15
1847-05,14.27,4.84
1847-06,18.0,5.25
1847-07,19.29,4.29
1847-08,18.55,5.39
1847-09,14.47,4.64
1847-10,10.07,4.64
1847-11,5.42,4.15
1847-12,2.94,4.45
1848-01,2.66,6.87
1848-02,3.71,5.48
1848-03,7.21,6.85
1848-04,10.88,4.11
1848-05,14.35,4.65
1848-06,17.18,5.34
1848-07,19.43,5.59
1848-08,18.22,4.77
1848-09,14.73,6.43
1848-10,10.08,6.16
1848-11,6.24,4.19
1848-12,2.91,6.25
1849-01,2.96,4.07
1849-02,4.39,5.23
1849-03,6.81,4.53
1849-04,10.98,4.2
1849-05,13.81,6.26
1849-06,17.84,4.09
1849-07,18.71,4.08
1849-08,18.14,5.23
1849-09,14.66,6.94
1849-10,10.41,6.88
1849-11,6.1,6.36
1849-12,3.42,6.13
1850-01,2.82,5.13
1850-02,4.36,6.58
1850-03,7.0,4.02
1850-04,10.49,6.01
1850-05,13.97,6.39
1850-06,17.68,6.09
1850-07,19.19,6.95
1850-08,17.93,4.13
1850-09,14.6,5.9
1850-10,10.34,6.62
1850-11,5.72,4.57
1850-12,3.39,6.5
1851-01,2.5,6.97
1851-02,4.53,5.21
1851-03,7.4,5.67
1851-04,10.9,5.44
1851-05,13.95,4.08
1851-06,17.35,6.76
1851-07,19.27,4.54
1851-08,18.53,5.21
1851-09,14.97,5.37
1851-10,9.79,5.77
1851-11,5.79,4.77
1851-12,3.4,5.07
1852-01,2.91,5.84
1852-02,4.0,5.34
1852-03,6.73,4.32
1852-04,10.12,6.58
1852-05,14.18,6.51
1852-06,17.39,5.32
1852-07,19.59,6.93
1852-08,18.14,4.14
1852-09,15.16,4.74
1852-10,9.88,6.78
1852-11,5.82,4.83
1852-12,3.45,4.91
1853-01,3.15,5.49
1853-02,4.61,6.43
1853-03,7.2,4.92
1853-04,10.53,6.12
1853-05,14.6,5.4
1853-06,18.04,4.44
1853-07,19.29,6.54
1853-08,18.04,6.29
1853-09,14.77,4.72
1853-10,9.89,6.8
1853-11,5.45,5.14
1853-12,3.0,6.25
1854-01,3.02,6.37
1854-02,4.01,4.5
1854-03,6.5,4.2
1854-04,11.1,5.03
1854-05,14.38,6.31
1854-06,18.02,5.97
1854-07,19.51,6.02
1854-08,18.0,6.21
1854-09,14.84,4.74
1854-10,10.41,6.23
1854-11,5.46,5.38
1854-12,3.68,6.65
1855-01,2.68,5.61
1855-02,4.47,6.58
1855-03,6.62,5.27
1855-04,10.19,6.57
1855-05,14.18,5.65
1855-06,17.57,4.32
1855-07,19.55,4.99
1855-08,18.64,4.96
1855-09,14.96,5.11
1855-10,10.18,4.16
1855-11,6.06,4.85
1855-12,3.1,3.98
1856-01,2.83,6.62
1856-02,3.96,5.56
1856-03,6.74,6.76
1856-04,10.83,4.15
1856-05,14.25,4.37
1856-06,18.03,4.17
1856-07,19.45,6.06
1856-08,18.57,5.05
1856-09,14.54,3.93
1856-10,9.9,6.3
1856-11,5.77,6.48
1856-12,3.66,4.97
1857-01,2.53,5.75
1857-02,3.79,5.04
1857-03,7.41,5.17
1857-04,10.38,5.25
1857-05,14.2,4.85
1857-06,17.67,5.4
1857-07,19.54,5.86
1857-08,18.24,3.84
1857-09,15.02,5.7
1857-10,10.54,6.78
1857-11,6.0,5.46
1857-12,3.55,5.15
1858-01,3.0,5.5
1858-02,4.7,5.86
1858-03,6.93,3.77
1858-04,10.58,6.34
1858-05,13.94,5.53
1858-06,17.97,3.98
1858-07,18.64,6.57
1858-08,18.26,4.33
1858-09,14.51,6.73
1858-10,9.75,4.77
1858-11,5.8,5.41
1858-12,3.63,4.42
1859-01,3.05,4.49
1859-02,3.95,5.49
1859-03,6.9,5.76
1859-04,11.09,4.17
1859-05,14.53,5.94
1859-06,17.87,3.94
1859-07,19.02,5.7
1859-08,18.28,4.44
1859-09,14.61,4.65
1859-10,10.11,5.3
1859-11,5.91,5.98
1859-12,3.87,6.64
1860-01,3.06,5.12
1860-02,3.75,5.83
1860-03,7.05,4.99
1860-04,10.15,4.99
1860-05,14.65,4.44
1860-06,17.42,4.32
1860-07,19.05,3.85
1860-08,18.03,4.65
1860-09,15.1,5.29
1860-10,10.22,5.4
1860-11,5.74,6.18
1860-12,3.39,4.83
1861-01,3.43,5.99
1861-02,3.98,4.78
1861-03,7.11,5.36
1861-04,10.83,5.19
1861-05,13.75,3.72
1861-06,17.91,4.21
1861-07,18.86,5.35
1861-08,18.57,4.72
1861-09,15.01,4.27
1861-10,9.89,3.74
1861-11,6.15,4.44
1861-12,3.93,5.35
1862-01,2.9,5.53
1862-02,3.85,6.14
1862-03,6.87,6.05
1862-04,10.64,6.5
1862-05,14.73,5.67
1862-06,17.26,3.95
1862-07,19.58,4.52
1862-08,18.79,4.22
1862-09,15.15,4.34
1862-10,9.96,4.52
1862-11,6.37,4.33
1862-12,3.63,5.26
1863-01,2.88,5.32
1863-02,3.85,5.41
1863-03,6.64,5.24
1863-04,10.32,6.32
1863-05,14.28,3.66
1863-06,17.86,4.33
1863-07,19.1,3.81
1863-08,18.67,4.93
1863-09,14.99,3.99
1863-10,10.11,5.56
1863-11,5.75,4.62
1863-12,3.05,5.88
1864-01,3.21,3.95
1864-02,4.72,3.95
1864-03,7.16,5.0
1864-04,10.71,3.83
1864-05,14.03,5.07
1864-06,17.65,4.21
1864-07,19.55,6.23
1864-08,18.82,4.09
1864-09,14.56,4.46
1864-10,10.51,4.31
1864-11,5.91,4.84
1864-12,3.07,4.23
1865-01,3.46,4.95
1865-02,3.92,3.73
1865-03,6.91,5.84
1865-04,10.47,6.13
1865-05,14.09,5.94
1865-06,17.44,5.66
1865-07,19.08,3.95
1865-08,18.71,4.06
1865-09,15.1,4.67
1865-10,9.78,5.79
1865-11,6.4,5.29
1865-12,3.04,5.17
1866-01,2.5,5.71
1866-02,4.21,5.58
1866-03,6.6,5.82
1866-04,10.3,5.3
1866-05,13.91,6.49
1866-06,17.31,3.87
1866-07,19.35,6.37
1866-08,18.5,4.9
1866-09,15.27,6.41
1866-10,10.26,3.8
1866-11,6.38,6.04
1866-12,3.71,5.0
1867-01,2.91,5.34
1867-02,3.8,5.56
1867-03,6.71,4.47
1867-04,10.68,5.24
1867-05,13.8,5.56
1867-06,18.11,4.97
1867-07,18.97,4.44
1867-08,18.88,4.88
1867-09,14.88,5.15
1867-10,10.07,6.02
1867-11,6.27,4.82
1867-12,3.95,3.92
1868-01,3.28,5.03
1868-02,4.31,4.27
1868-03,7.38,5.29
1868-04,10.49,6.07
1868-05,14.47,6.34
1868-06,17.65,4.5
1868-07,19.16,4.36
1868-08,18.36,5.27
1868-09,15.45,3.67
1868-10,10.46,4.03
1868-11,6.33,5.12
1868-12,3.37,5.83
1869-01,2.5,5.89
1869-02,4.71,3.81
1869-03,7.24,5.69
1869-04,11.11,4.6
1869-05,14.25,5.56
1869-06,17.58,5.05
1869-07,19.33,3.59
1869-08,18.85,6.03
1869-09,15.01,4.14
1869-10,9.99,4.75
1869-11,5.86,5.05
1869-12,3.63,5.84
1870-01,3.18,5.66
1870-02,4.47,4.74
1870-03,6.52,4.62
1870-04,10.99,4.54
1870-05,13.83,5.13
1870-06,17.51,3.58
1870-07,19.6,5.11
1870-08,18.81,5.94
1870-09,14.81,4.65
1870-10,10.4,4.18
1870-11,6.23,5.35
1870-12,3.26,3.89
1871-01,2.51,5.85
1871-02,3.85,3.97
1871-03,6.51,4.19
1871-04,10.88,4.2
1871-05,13.89,5.97
1871-06,17.62,4.11
1871-07,19.41,3.83
1871-08,18.5,4.14
1871-09,15.13,3.62
1871-10,9.79,6.01
1871-11,6.07,6.03
1871-12,3.61,3.56
1872-01,3.4,6.08
1872-02,4.46,5.29
1872-03,7.08,5.17
1872-04,11.17,6.28
1872-05,14.71,4.2
1872-06,18.11,4.08
1872-07,19.46,3.6
1872-08,18.14,3.87
1872-09,14.52,5.52
1872-10,10.14,5.88
1872-11,5.6,3.63
1872-12,3.51,5.63
1873-01,2.63,4.43
1873-02,3.95,5.79
1873-03,7.12,3.8
1873-04,10.21,4.96
1873-05,14.42,5.89
1873-06,18.15,6.07
1873-07,18.91,5.1
1873-08,18.44,5.43
1873-09,14.92,4.41
1873-10,9.89,4.71
1873-11,6.37,3.93
1873-12,3.14,4.46
1874-01,3.05,4.59
1874-02,4.79,5.87
1874-03,6.88,5.77
1874-04,10.44,4.65
1874-05,14.6,4.55
1874-06,17.44,3.88
1874-07,19.06,3.31
1874-08,18.64,3.47
1874-09,14.52,4.58
1874-10,10.74,3.97
1874-11,6.19,5.63
1874-12,3.2,6.22
1875-01,3.0,4.78
1875-02,3.9,4.68
1875-03,7.15,3.27
1875-04,11.06,5.38
1875-05,14.06,5.73
1875-06,17.35,3.3
1875-07,19.07,3.54
1875-08,18.98,3.33
1875-09,14.87,5.39
1875-10,10.38,4.85
1875-11,5.83,5.56
1875-12,3.76,5.7
1876-01,3.34,5.98
1876-02,4.55,4.24
1876-03,7.17,3.32
1876-04,10.9,3.86
1876-05,14.31,3.96
1876-06,18.19,3.58
1876-07,18.77,4.36
1876-08,18.73,4.5
1876-09,14.79,5.6
1876-10,10.17,6.11
1876-11,6.5,3.55
1876-12,3.4,3.82
1877-01,2.88,4.86
1877-02,4.25,4.22
1877-03,7.31,4.36
1877-04,11.07,5.09
1877-05,14.52,4.46
1877-06,17.5,4.16
1877-07,19.07,4.74
1877-08,18.47,5.97
1877-09,14.65,4.63
1877-10,10.04,5.21
1877-11,6.46,3.95
1877-12,3.86,5.89
1878-01,3.4,3.46
1878-02,4.14,4.47
1878-03,7.19,4.84
1878-04,10.6,6.01
1878-05,14.25,5.49
1878-06,17.82,3.78
1878-07,19.65,5.46
1878-08,18.75,5.15
1878-09,14.85,4.58
1878-10,10.6,4.17
1878-11,5.64,5.83
1878-12,3.09,3.8
1879-01,2.55,5.39
1879-02,4.39,3.7
1879-03,7.17,4.0
1879-04,10.28,5.23
1879-05,13.83,5.33
1879-06,17.35,5.05
1879-07,18.84,5.23
1879-08,19.01,5.78
1879-09,15.26,3.13
1879-10,10.26,5.47
1879-11,6.51,5.97
1879-12,3.12,4.06
1880-01,2.85,5.71
1880-02,4.68,4.6
1880-03,7.19,5.49
1880-04,11.18,5.12
1880-05,14.3,5.28
1880-06,18.13,5.11
1880-07,19.54,5.33
1880-08,18.05,4.72
1880-09,14.77,5.76
1880-10,10.78,3.26
1880-11,6.24,5.51
1880-12,3.27,4.76
1881-01,2.64,5.19
1881-02,4.21,4.71
1881-03,7.44,3.45
1881-04,11.17,6.05
1881-05,14.11,3.38
1881-06,18.16,4.9
1881-07,18.76,4.27
1881-08,18.5,4.2
1881-09,14.81,5.41
1881-10,10.27,5.66
1881-11,6.52,4.89
1881-12,3.55,4.8
1882-01,2.66,5.18
1882-02,4.64,5.94
1882-03,7.22,3.24
1882-04,10.93,3.7
1882-05,14.66,5.79
1882-06,18.07,4.34
1882-07,18.96,3.53
1882-08,18.5,4.81
1882-09,14.93,3.88
1882-10,10.29,3.16
1882-11,6.05,5.58
1882-12,3.85,4.75
1883-01,3.17,5.77
1883-02,4.7,3.66
1883-03,6.82,3.22
1883-04,10.83,4.32
1883-05,14.16,3.54
1883-06,18.12,5.54
1883-07,19.66,4.82
1883-08,18.98,3.16
1883-09,15.28,5.37
1883-10,10.36,3.98
1883-11,6.49,3.81
1883-12,4.03,5.74
1884-01,3.25,5.81
1884-02,4.16,5.66
1884-03,7.4,3.45
1884-04,10.41,2.99
1884-05,14.84,5.28
1884-06,17.96,3.85
1884-07,19.69,4.64
1884-08,18.05,4.09
1884-09,14.87,3.61
1884-10,10.29,4.27
1884-11,5.61,5.07
1884-12,3.56,5.57
1885-01,3.4,5.01
1885-02,3.87,4.47
1885-03,6.93,3.17
1885-04,10.47,5.86
1885-05,14.29,3.87
1885-06,17.45,5.06
1885-07,19.06,5.91
1885-08,18.83,4.27
1885-09,14.73,4.12
1885-10,10.67,4.32
1885-11,5.89,4.67
1885-12,3.9,3.53
1886-01,3.5,4.6
1886-02,4.59,3.73
1886-03,7.38,5.29
1886-04,11.09,3.96
1886-05,14.19,4.1
1886-06,17.34,3.4
1886-07,19.1,5.17
1886-08,18.58,5.79
1886-09,15.47,3.25
1886-10,9.94,4.8
1886-11,5.77,5.8
1886-12,3.1,3.84
1887-01,3.45,5.27
1887-02,4.68,3.57
1887-03,7.41,5.59
1887-04,10.72,5.84
1887-05,14.12,4.91
1887-06,17.5,5.62
1887-07,18.92,5.78
1887-08,18.75,3.4
1887-09,14.62,5.47
1887-10,10.18,4.5
1887-11,6.33,3.01
1887-12,3.28,4.15
1888-01,3.17,3.46
1888-02,3.86,3.64
1888-03,6.77,3.25
1888-04,11.24,3.23
1888-05,13.87,3.62
1888-06,17.49,5.76
1888-07,19.33,5.18
1888-08,18.39,4.52
1888-09,14.55,2.86
1888-10,10.41,3.98
1888-11,6.31,5.58
1888-12,3.76,4.89
1889-01,2.75,4.86
1889-02,4.83,4.47
1889-03,7.24,2.98
1889-04,10.27,4.26
1889-05,14.13,4.76
1889-06,17.38,4.0
1889-07,18.98,3.42
1889-08,18.65,5.25
1889-09,14.66,3.1
1889-10,10.17,3.61
1889-11,6.17,5.44
1889-12,3.55,3.3
1890-01,2.64,4.66
1890-02,4.76,5.1
1890-03,7.3,3.04
1890-04,10.85,5.13
1890-05,14.23,3.6
1890-06,18.11,5.55
1890-07,18.77,3.45
1890-08,18.53,3.68
1890-09,14.82,5.45
1890-10,10.1,4.04
1890-11,5.6,3.88
1890-12,3.76,2.87
1891-01,2.87,5.39
1891-02,4.49,4.58
1891-03,7.36,3.24
1891-04,10.37,5.44
1891-05,14.02,4.95
1891-06,17.28,4.89
1891-07,18.79,3.42
1891-08,18.29,3.14
1891-09,14.84,5.29
1891-10,10.74,4.27
1891-11,5.6,3.62
1891-12,3.85,5.59
1892-01,2.82,4.3
1892-02,4.02,2.85
1892-03,7.18,5.27
1892-04,11.12,3.6
1892-05,14.52,3.31
1892-06,17.85,3.77
1892-07,18.91,5.45
1892-08,18.39,4.79
1892-09,15.24,4.26
1892-10,10.09,5.16
1892-11,6.33,4.13
1892-12,3.21,5.64
1893-01,2.91,4.91
1893-02,4.62,4.59
1893-03,6.6,3.46
1893-04,10.46,2.91
1893-05,14.23,3.34
1893-06,18.01,4.74
1893-07,19.41,3.1
1893-08,18.44,5.69
1893-09,14.73,3.62
1893-10,10.65,4.6
1893-11,6.33,4.58
1893-12,3.32,3.61
1894-01,3.24,5.08
1894-02,4.28,4.13
1894-03,6.72,4.0
1894-04,10.67,3.19
1894-05,13.91,4.79
1894-06,18.17,3.5
1894-07,19.6,4.49
1894-08,18.9,4.3
1894-09,15.21,4.3
1894-10,10.34,5.01
1894-11,5.58,4.82
1894-12,3.82,3.1
1895-01,3.44,4.99
1895-02,4.72,4.65
1895-03,7.49,3.78
1895-04,10.86,4.82
1895-05,14.3,3.73
1895-06,17.94,4.84
1895-07,19.28,3.38
1895-08,18.19,2.81
1895-09,15.07,3.51
1895-10,10.59,3.52
1895-11,5.9,4.91
1895-12,3.79,4.03
1896-01,2.96,3.38
1896-02,4.85,4.6
1896-03,6.82,4.73
1896-04,10.87,3.75
1896-05,14.19,4.4
1896-06,17.32,2.79
1896-07,19.08,4.42
1896-08,18.56,5.54
1896-09,15.05,4.5
1896-10,10.74,4.09
1896-11,5.59,4.44
1896-12,3.25,4.26
1897-01,3.03,4.64
1897-02,4.68,3.17
1897-03,7.45,5.04
1897-04,11.08,3.89
1897-05,14.03,3.24
1897-06,17.54,3.27
1897-07,19.75,4.07
1897-08,18.97,3.05
1897-09,15.54,4.78
1897-10,10.82,3.68
1897-11,6.04,4.3
1897-12,3.48,5.13
1898-01,3.15,3.34
1898-02,4.51,3.39
1898-03,7.28,3.18
1898-04,10.86,3.25
1898-05,14.41,4.8
1898-06,17.94,4.17
1898-07,19.73,2.66
1898-08,18.92,4.16
1898-09,14.63,4.61
1898-10,9.93,5.17
1898-11,6.25,4.5
1898-12,3.27,5.15
1899-01,2.98,3.69
1899-02,4.37,4.71
1899-03,6.68,4.78
1899-04,10.87,4.81
1899-05,14.09,5.31
1899-06,18.06,3.89
1899-07,19.59,3.99
1899-08,18.68,5.42
1899-09,15.36,4.96
1899-10,10.16,5.49
1899-11,5.68,3.47
1899-12,4.04,3.93
1900-01,3.42,4.71
1900-02,4.23,2.78
1900-03,6.66,2.8
1900-04,10.61,5.27
1900-05,13.91,3.82
1900-06,17.72,3.69
1900-07,19.64,5.3
1900-08,18.74,2.98
1900-09,14.75,4.99
1900-10,10.21,4.76
1900-11,5.79,4.34
1900-12,3.56,4.79
1901-01,2.76,3.62
1901-02,4.27,3.62
1901-03,7.06,2.8
1901-04,10.48,4.82
1901-05,14.34,3.71
1901-06,17.34,4.37
1901-07,19.18,3.88
1901-08,19.07,4.66
1901-09,15.59,3.25
1901-10,10.3,4.6
1901-11,5.82,2.63
1901-12,3.31,3.86
1902-01,3.47,4.93
1902-02,4.49,4.7
1902-03,7.3,3.31
1902-04,10.82,3.08
1902-05,14.03,5.26
1902-06,18.05,4.21
1902-07,18.9,4.87
1902-08,19.04,4.44
1902-09,15.5,5.01
1902-10,10.74,5.24
1902-11,5.64,2.44
1902-12,3.92,4.44
1903-01,2.75,4.14
1903-02,4.84,2.8
1903-03,7.31,4.08
1903-04,11.22,3.81
1903-05,14.69,5.25
1903-06,17.9,4.21
1903-07,19.12,4.51
1903-08,18.94,4.31
1903-09,14.98,4.31
1903-10,10.87,4.08
1903-11,6.18,4.12
1903-12,3.32,4.12
1904-01,2.94,4.67
1904-02,4.78,3.19
1904-03,7.35,5.05
1904-04,10.83,2.93
1904-05,14.28,4.01
1904-06,18.12,5.18
1904-07,19.28,4.59
1904-08,18.56,4.78
1904-09,14.79,3.59
1904-10,10.7,2.87
1904-11,6.32,3.72
1904-12,3.79,4.06
1905-01,2.96,4.68
1905-02,4.75,3.57
1905-03,7.28,3.78
1905-04,11.04,4.78
1905-05,14.08,3.65
1905-06,18.32,4.57
1905-07,19.53,5.17
1905-08,18.42,4.72
1905-09,15.09,4.43
1905-10,10.21,2.99
1905-11,5.79,3.57
1905-12,3.79,3.63
1906-01,3.37,5.02
1906-02,4.56,2.49
1906-03,6.84,4.81
1906-04,11.23,3.05
1906-05,14.85,2.54
1906-06,17.67,4.78
1906-07,19.63,4.87
1906-08,18.31,5.21
1906-09,15.26,3.17
1906-10,10.51,4.78
1906-11,6.45,2.74
1906-12,3.99,2.78
1907-01,2.72,2.58
1907-02,4.62,3.0
1907-03,7.5,3.42
1907-04,10.63,4.3
1907-05,14.05,5.09
1907-06,17.49,4.57
1907-07,19.2,5.22
1907-08,18.38,2.69
1907-09,14.95,4.33
1907-10,10.77,2.63
1907-11,5.95,3.21
1907-12,3.5,3.95
1908-01,3.4,2.78
1908-02,4.13,5.09
1908-03,7.1,4.89
1908-04,11.12,4.88
1908-05,14.71,5.12
1908-06,18.03,4.68
1908-07,18.98,4.51
1908-08,18.49,4.56
1908-09,15.41,4.41
1908-10,10.73,2.68
1908-11,6.15,2.72
1908-12,3.41,3.7
1909-01,3.13,4.16
1909-02,4.71,3.82
1909-03,7.58,2.25
1909-04,10.8,2.54
1909-05,14.77,3.9
1909-06,17.35,2.4
1909-07,19.59,3.5
1909-08,19.0,4.05
1909-09,15.41,5.2
1909-10,10.42,2.61
1909-11,5.67,3.05
1909-12,3.73,4.29
1910-01,3.43,3.81
1910-02,4.24,3.22
1910-03,6.64,3.21
1910-04,11.31,4.06
1910-05,14.54,4.41
1910-06,18.02,5.07
1910-07,19.44,5.04
1910-08,18.6,3.12
1910-09,14.93,4.92
1910-10,10.17,2.93
1910-11,6.54,2.41
1910-12,3.61,3.09
1911-01,2.8,4.49
1911-02,4.92,4.17
1911-03,7.37,3.53
1911-04,10.47,4.19
1911-05,14.14,3.52
1911-06,17.99,2.84
1911-07,19.19,2.46
1911-08,18.3,4.29
1911-09,15.24,3.95
1911-10,10.29,2.71
1911-11,6.44,3.89
1911-12,3.5,2.9
1912-01,3.59,4.41
1912-02,4.23,5.05
1912-03,6.95,5.07
1912-04,10.77,3.57
1912-05,14.36,2.66
1912-06,18.28,4.16
1912-07,19.53,2.46
1912-08,18.55,2.73
1912-09,15.45,4.49
1912-10,10.14,3.81
1912-11,5.94,3.35
1912-12,4.07,2.74
1913-01,2.74,3.06
1913-02,4.66,2.69
1913-03,6.86,2.29
1913-04,11.02,2.54
1913-05,13.97,4.24
1913-06,17.68,3.35
1913-07,19.76,2.33
1913-08,18.72,3.53
1913-09,14.92,4.18
1913-10,10.27,2.45
1913-11,6.65,3.58
1913-12,3.64,3.61
1914-01,3.27,4.81
1914-02,4.65,3.35
1914-03,7.16,2.91
1914-04,11.32,4.12
1914-05,14.32,4.62
1914-06,17.49,3.37
1914-07,19.25,4.52
1914-08,18.83,2.7
1914-09,15.64,3.44
1914-10,10.77,4.29
1914-11,5.73,4.54
1914-12,3.36,2.64
1915-01,3.64,3.43
1915-02,4.37,2.63
1915-03,7.33,3.86
1915-04,11.11,4.05
1915-05,14.09,4.88
1915-06,17.43,4.38
1915-07,19.03,3.74
1915-08,18.81,2.48
1915-09,15.39,3.12
1915-10,10.51,4.7
1915-11,6.57,3.87
1915-12,4.13,3.18
1916-01,3.52,3.17
1916-02,4.94,3.28
1916-03,7.56,2.26
1916-04,10.38,4.58
1916-05,14.65,4.44
1916-06,17.85,4.26
1916-07,19.55,2.05
1916-08,18.92,2.07
1916-09,15.01,3.86
1916-10,10.81,4.01
1916-11,6.49,3.54
1916-12,3.99,3.21
1917-01,3.16,2.03
1917-02,4.23,4.39
1917-03,6.71,3.15
1917-04,10.67,2.32
1917-05,14.56,3.52
1917-06,17.66,4.94
1917-07,19.54,3.07
1917-08,18.79,4.09
1917-09,15.1,3.51
1917-10,10.47,3.42
1917-11,6.24,3.09
1917-12,3.47,2.23
1918-01,3.2,2.05
1918-02,4.58,2.67
1918-03,6.88,4.53
1918-04,10.54,4.59
1918-05,14.75,4.54
1918-06,18.14,4.51
1918-07,19.24,3.32
1918-08,18.9,4.94
1918-09,14.95,4.78
1918-10,10.6,4.55
1918-11,5.97,3.41
1918-12,3.8,2.51
1919-01,3.19,2.06
1919-02,4.33,4.34
1919-03,7.4,3.5
1919-04,10.89,3.88
1919-05,14.0,4.39
1919-06,18.24,2.81
1919-07,19.86,2.09
1919-08,18.93,3.94
1919-09,15.3,2.29
1919-10,10.25,2.59
1919-11,6.42,2.75
1919-12,3.98,4.5
1920-01,2.98,2.42
1920-02,4.11,3.99
1920-03,7.07,2.43
1920-04,10.74,4.8
1920-05,14.5,4.37
1920-06,18.06,3.2
1920-07,19.29,4.45
1920-08,18.53,3.37
1920-09,14.69,3.84
1920-10,10.04,4.43
1920-11,6.22,3.09
1920-12,4.11,2.93
1921-01,3.37,4.52
1921-02,4.18,3.64
1921-03,7.31,2.18
1921-04,10.56,3.05
1921-05,14.85,3.56
1921-06,18.23,4.74
1921-07,18.89,2.54
1921-08,18.94,2.34
1921-09,14.87,4.6
1921-10,10.62,2.02
1921-11,6.55,2.7
1921-12,3.26,3.99
1922-01,3.61,2.58
1922-02,4.01,3.82
1922-03,7.48,3.51
1922-04,11.18,4.19
1922-05,14.11,2.87
1922-06,17.95,3.41
1922-07,18.92,4.12
1922-08,18.95,4.05
1922-09,15.4,3.54
1922-10,10.59,2.6
1922-11,6.22,4.55
1922-12,3.4,2.25
1923-01,3.05,2.56
1923-02,4.69,4.64
1923-03,7.27,2.23
1923-04,11.03,3.36
1923-05,14.35,3.95
1923-06,17.64,3.75
1923-07,19.27,2.6
1923-08,18.31,3.33
1923-09,15.39,4.22
1923-10,10.85,4.34
1923-11,6.62,3.33
1923-12,3.71,3.52
1924-01,3.62,3.23
1924-02,4.63,3.54
1924-03,6.86,3.15
1924-04,10.7,3.2
1924-05,14.8,2.87
1924-06,18.04,3.57
1924-07,19.87,4.47
1924-08,19.12,3.3
1924-09,14.84,4.49
1924-10,10.0,2.12
1924-11,6.26,3.58
1924-12,3.89,2.19
1925-01,2.99,4.24
1925-02,4.94,4.25
1925-03,7.07,2.21
1925-04,11.09,4.07
1925-05,14.74,2.52
1925-06,18.39,4.54
1925-07,19.07,2.3
1925-08,19.16,2.83
1925-09,15.26,4.33
1925-10,10.72,4.3
1925-11,6.56,3.24
1925-12,3.29,2.54
1926-01,3.65,2.76
1926-02,4.73,1.8
1926-03,6.8,3.81
1926-04,10.41,2.8
1926-05,14.79,4.1
1926-06,17.95,3.94
1926-07,19.66,4.37
1926-08,18.77,2.25
1926-09,15.42,3.62
1926-10,10.21,2.43
1926-11,5.81,3.26
1926-12,4.06,4.59
1927-01,2.8,4.46
1927-02,4.08,4.14
1927-03,6.79,3.16
1927-04,10.66,1.7
1927-05,14.82,4.43
1927-06,18.24,4.27
1927-07,19.65,2.77
1927-08,18.91,2.2
1927-09,14.97,3.11
1927-10,10.03,3.71
1927-11,5.81,1.86
1927-12,3.73,3.96
1928-01,2.79,4.44
1928-02,4.98,3.68
1928-03,7.34,1.7
1928-04,10.44,4.17
1928-05,14.92,3.1
1928-06,17.62,4.08
1928-07,19.78,2.44
1928-08,19.04,2.47
1928-09,15.14,4.16
1928-10,10.11,1.87
